Index,Dimension_0,Dimension_1,Dimension_2,Dimension_3,Dimension_4,Dimension_5,Dimension_6,Dimension_7,Dimension_8,Dimension_9,Dimension_10,Dimension_11,Dimension_12,Dimension_13,Dimension_14,Dimension_15,Dimension_16,Dimension_17,Dimension_18,Dimension_19,Dimension_20,Dimension_21,Dimension_22,Dimension_23,Dimension_24,Dimension_25,Dimension_26,Dimension_27,Dimension_28,Dimension_29,Dimension_30,Dimension_31,Dimension_32,Dimension_33,Dimension_34,Dimension_35,Dimension_36,Dimension_37,Dimension_38,Dimension_39,Dimension_40,Dimension_41,Dimension_42,Dimension_43,Dimension_44,Dimension_45,Dimension_46,Dimension_47,Dimension_48,Dimension_49,Dimension_50,Dimension_51,Dimension_52,Dimension_53,Dimension_54,Dimension_55,Dimension_56,Dimension_57,Dimension_58,Dimension_59,Dimension_60,Dimension_61,Dimension_62,Dimension_63
10,0.103647284,-0.2690022,0.29442456,0.21326189,0.10448724,0.034008104,0.09675564,-0.18557414,-0.053778917,-0.08797924,0.2301663,0.08763375,0.20800439,0.051653933,0.048707746,0.14726838,0.11326533,0.079770714,0.13738684,0.18514037,0.06128799,0.013525363,0.031757515,-0.21653937,0.49038365,0.14420211,0.00031131893,0.4544257,0.34452012,-0.19199637,-0.17779629,-0.13492411,-0.12797816,0.09588026,-0.037085053,-0.057264585,-0.12724343,-0.14197567,0.14940003,0.080952205,0.123330705,-0.20624383,0.07064362,0.06324834,0.11180121,-0.082345344,-0.05367769,-0.030349001,0.3813569,0.11801198,0.12001119,-0.26649004,0.23523584,0.04967717,-0.079954416,-0.18200603,0.04544064,-0.045357388,-0.114027075,0.27352273,0.048937906,0.035288412,-0.05801008,-0.006323136
11,0.09780786,-0.21859314,0.24581306,0.017636588,0.057214342,-0.01967079,0.22235408,-0.16364357,-0.0758721,0.0056797992,0.14763926,-0.04098299,0.28288457,0.0888203,0.2276383,0.11086987,0.2550132,0.21715912,0.085300565,0.20578243,0.016051972,0.07080041,0.094924316,-0.19816692,0.42546484,0.18043223,0.012300737,0.44764486,0.36130524,-0.116260014,-0.11349371,-0.18547456,-0.13348678,0.007118793,-0.10072644,0.054048974,-0.12255514,-0.06360851,0.108354636,0.1270693,-0.020533213,-0.17344224,-0.035388935,-0.058506485,0.09139399,-0.19355033,-0.10428515,-0.027275667,0.29214215,0.24979864,0.17532969,-0.22843096,0.3431379,0.031909,-0.022152059,-0.01129244,0.114237405,-0.017092906,-0.070740685,0.37505442,0.055101197,0.06448838,-0.051254,-0.02128438
12,0.24658315,-0.28725266,0.15820979,-0.02006785,0.1277353,-0.0030822789,0.058999334,-0.1049747,-0.08703414,-0.13640718,0.25701436,0.005365534,0.24801283,0.07503089,0.12048026,0.18024926,0.40036494,0.09194022,0.099803545,0.15983641,0.12326899,0.107977524,0.15888825,-0.062142853,0.42316118,0.045229148,0.048716582,0.4475263,0.3113287,-0.07396751,0.016161092,-0.16671838,-0.17072585,0.16583322,-0.20056736,-0.032297064,-0.17809997,-0.022679448,0.2708049,-0.07691234,0.23910558,-0.21493967,-0.06354941,-0.19072169,0.008831181,0.028429205,0.09955249,-0.02006261,0.17356989,0.1911632,0.25146106,-0.23131005,0.20583007,0.09622302,-0.046622403,-0.18158095,0.3514714,0.095695496,-0.109469496,0.27157483,0.0835474,0.06029628,-0.0472004,0.018859329
13,-0.02673092,-0.19017072,0.32145524,0.17729516,0.20478615,0.10952156,0.08370405,-0.19155125,-0.11187337,-0.09914514,0.25091675,-0.13064325,0.2504671,0.18363409,0.10620333,0.1359358,0.275011,0.22975515,0.06335807,0.12964104,0.076669775,0.15593627,0.26646027,-0.08375282,0.41730112,-0.16398327,0.0877735,0.3236937,0.2642416,0.0363238,-0.037864204,0.03153724,-0.1242676,0.16992603,0.0044933725,-0.12266956,-0.009378422,-0.18727773,0.2726684,0.061049312,0.17241685,-0.26610288,0.012863665,-0.123589374,-0.0442402,-0.11774937,0.1670261,-0.044338606,0.1864622,0.19792335,0.15151484,-0.43960556,0.20128895,0.09748584,0.040062383,-0.06508889,0.37167177,0.11299379,-0.1265134,0.33718193,0.09454355,-0.17980376,-0.12721415,0.003925167
14,-0.0022965258,-0.1552446,0.23732246,0.247961,-0.08071314,0.09093017,-0.17312655,0.115887016,-0.15267795,-0.30443212,0.25381935,-0.17767781,-0.113287956,0.024090797,0.09114537,0.057729516,0.11365224,-0.2674211,0.30298892,-0.09219893,0.1222668,0.3991976,0.098032035,-0.13801149,0.12795559,0.09687633,0.14737096,0.11825503,0.09326083,0.41829756,-0.04852327,-0.12758598,0.09497233,-0.002281472,-0.09942238,-0.18239391,-0.11881216,0.0033503647,0.11094263,0.18380551,-0.09556273,-0.14191595,0.17702928,-0.11988765,0.036768563,0.068722606,-0.026170576,-0.20253031,0.14463156,0.22375174,-0.24133387,-0.027383812,0.28666678,0.018738354,-0.04992589,0.13161653,-0.08469439,-0.2121442,0.16749328,0.17719199,-0.1353004,-0.116000414,-0.07070542,0.045952585
15,-0.047848444,-0.16430393,0.18174174,0.065345384,0.08485748,-0.057759073,-0.18483475,-0.10957915,-0.40834284,-0.20686546,0.16724229,-0.016091157,-0.04425528,0.10988482,0.2442347,0.16806164,0.09639352,0.11685432,0.033658516,-0.012599681,-0.051194884,0.3058693,0.08546952,-0.0035979021,0.20310716,-0.0019328715,0.20141934,0.14086239,0.3357337,-0.13569565,-0.06529036,-0.03425754,-0.0035300583,0.32284957,-0.17533147,-0.19134176,0.1980438,0.0918477,0.07983892,0.08572668,0.19000807,-0.12973163,0.09405046,-0.030037405,0.080375135,0.14247034,0.1836141,-0.06327836,0.07625221,0.062420234,0.09480267,-0.21518025,0.07911238,0.12304893,-0.06701317,-0.11138843,0.08454482,0.28432998,-0.071141906,0.35876158,-0.018247832,0.13951923,0.030712016,0.0010887529
16,-0.056624766,-0.039105996,0.085493654,0.07985771,0.18609178,0.15964733,-0.08793176,-0.20208614,-0.13113184,-0.23393273,0.024074888,-0.06497297,-0.13428624,0.11937477,0.14212784,0.049506668,0.25615078,0.048075538,0.088359974,0.025431618,0.007369152,0.26572436,0.09543091,-0.18490356,0.14225897,-0.10433517,0.23115234,0.17545192,0.31957963,-0.044992607,-0.08293389,-0.048229963,0.046573576,0.23998128,-0.2664848,-0.2159411,0.031847183,0.097525015,0.15893467,0.028147548,0.118730694,-0.017030703,0.11307872,-0.16612007,0.14618643,0.09754848,0.30007634,-0.048850566,0.09457259,0.19414371,0.068108745,-0.3403837,0.13007702,0.2101407,0.024672389,0.14089698,0.045538876,0.117505625,-0.17513493,0.28124607,-0.17532195,0.091635995,-0.16865376,0.06701064
17,0.06181728,0.005634463,-0.08116981,-0.03600286,-0.026499478,-0.039122544,0.035209887,-0.116116956,-0.16118187,-0.026478948,0.039951134,0.05525734,-0.06937464,-0.054504775,0.08784943,-0.026597155,-0.076780416,-0.08492562,0.024390675,0.05451375,-0.002359143,0.10843264,0.097092286,-0.09133129,0.016025642,0.03244063,-0.033689965,-0.023117295,0.16603605,0.060934395,0.025378054,0.070226565,-0.15854874,-0.02665534,-0.05906158,-0.0035615943,-0.15332173,-0.06699007,0.042946693,-0.03217828,-0.030995378,0.0047552274,-0.007296722,-0.06566991,0.13405691,0.013473928,0.030627767,-0.124137774,-0.028899183,0.027056957,0.051878132,-0.06752845,-0.003769449,0.080402434,-0.044499967,-0.009504203,0.05495074,-0.10714037,-0.046793036,0.10129457,-0.10810541,-0.09064612,0.04234957,-0.030363316
18,-0.10076148,-0.10589748,0.125188,0.10565454,0.11818406,0.31533432,0.02746724,-0.14324364,-0.097188696,-0.29602778,0.14309224,-0.063098565,0.031286426,0.14323808,0.08598069,0.33229384,0.34572694,0.010062747,0.43473566,0.06132527,0.06494998,0.32023025,0.098531045,-0.13138081,0.113683194,0.064297155,0.31327346,0.2014533,0.20075272,0.07297023,0.026234902,0.031582948,-0.04387533,0.46986294,0.005590164,-0.17904076,0.03804079,-0.029999452,-0.007687395,0.046383273,0.11380739,-0.2892386,0.16441847,-0.042307172,0.18218584,0.052223757,0.21009368,-0.124691576,0.01600206,0.10600521,0.17592481,-0.14916489,0.06604646,0.23453733,0.050322447,0.032138616,0.17044997,0.092377976,-0.16350733,0.3538859,0.07771235,0.039417047,0.12453473,0.24084099
19,0.04635372,-0.19673155,0.048234735,0.2804853,0.06705495,0.16596895,-0.24453893,0.16133909,-0.25853574,-0.3114266,0.3069581,-0.083632655,-0.21488099,0.0088433605,0.17662077,0.21108945,0.05251047,-0.07707985,0.20457137,-0.019888561,0.069396004,0.25213525,0.04087896,-0.15511574,0.17409107,-0.041324545,-0.020979356,0.2499299,0.08637911,0.29898086,0.036184657,-0.0011139415,0.00873703,0.08850726,-0.11433732,-0.13316491,-0.04896513,-0.03718884,0.03753906,0.023634132,-0.044112,-0.09852218,0.09491742,-0.045375038,-0.04236292,0.123403065,-0.06535516,-0.16849484,0.13654256,0.11953246,-0.14083356,0.13103473,0.19501585,0.009044455,-0.091894746,0.06843992,0.10271005,-0.10497017,0.19880402,0.13590017,-0.1612775,-0.12339788,-0.015709084,-0.0005740141
